message_index,timestamp_ns,symbol,bid_price,ask_price,bid_size,ask_size,spread,source_path,limitation
34341,1517059770458963286,ZEXIT,9.98,10.0,154,154,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61612,1517068636436297720,AWP,6.63,6.64,309,2683,0.009999999999999787,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61616,1517068636448976726,AWP,6.62,6.64,6406,2683,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61621,1517068636474629967,AWP,6.62,6.65,6406,10050,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61622,1517068636482867339,AWP,6.62,6.63,6406,7432,0.009999999999999787,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61626,1517068636505839369,AWP,6.61,6.63,8456,7432,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61630,1517068636513651925,AWP,6.61,6.63,8456,1298,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61634,1517068636540192870,AWP,6.61,6.65,8456,10050,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61641,1517068636631203260,AWP,6.61,6.65,8456,7903,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61645,1517068636676798694,AWP,6.61,6.67,8456,13242,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61649,1517068636729449211,AWP,6.61,6.67,8213,13242,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61653,1517068636768540927,AWP,6.61,6.67,567,13242,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61655,1517068636833184793,AWP,6.65,6.67,7853,13242,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61658,1517068636850265617,AWP,6.65,6.67,7853,21025,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61661,1517068636875267973,AWP,6.65,6.67,7853,17903,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61664,1517068636884049859,AWP,6.65,6.67,7853,15675,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61668,1517068636948764628,AWP,6.61,6.67,567,15675,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61674,1517068636961062892,AWP,6.6,6.67,7813,15675,0.07000000000000028,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61675,1517068637017377761,AWP,6.63,6.67,3610,15675,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61679,1517068637080251177,AWP,6.63,6.67,3610,19417,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61682,1517068637087171773,AWP,6.63,6.67,3610,16586,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61688,1517068637099402978,AWP,6.63,6.67,3610,12719,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61692,1517068637132273112,AWP,6.63,6.67,2403,12719,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61695,1517068637191917186,AWP,6.63,6.67,737,12719,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61698,1517068637212520553,AWP,6.63,6.67,737,4776,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61703,1517068637225048457,AWP,6.63,6.67,737,564,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61704,1517068637238329553,AWP,6.63,6.64,737,3427,0.009999999999999787,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61707,1517068637300217631,AWP,6.63,6.67,737,564,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61708,1517068637310747218,AWP,6.64,6.67,4751,564,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61709,1517068637342895021,AWP,6.64,6.67,4751,8997,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61714,1517068637413982354,AWP,6.64,6.67,4719,8997,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61717,1517068637478752563,AWP,6.64,6.66,4719,3859,0.020000000000000462,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61721,1517068637503364702,AWP,6.64,6.67,4719,8997,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61723,1517068637511807910,AWP,6.64,6.67,3807,8997,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61729,1517068637572076676,AWP,6.62,6.67,5650,8997,0.04999999999999982,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61734,1517068637615054243,AWP,6.62,6.67,3584,8997,0.04999999999999982,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61739,1517068637650417972,AWP,6.65,6.67,1333,8997,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61743,1517068637685161541,AWP,6.65,6.67,1333,6171,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61746,1517068637711376210,AWP,6.62,6.67,3584,6171,0.04999999999999982,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61748,1517068637759256024,AWP,6.62,6.67,3584,3180,0.04999999999999982,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61754,1517068637792143434,AWP,6.62,6.68,3584,35999,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61756,1517068637805703702,AWP,6.62,6.63,3584,431,0.009999999999999787,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61762,1517068637841827006,AWP,6.62,6.68,3584,35999,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61763,1517068637854537239,AWP,6.66,6.68,418,35999,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61770,1517068637865352107,AWP,6.62,6.68,3584,35999,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61779,1517068637878652593,AWP,6.61,6.68,1912,35999,0.0699999999999994,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61780,1517068637900124651,AWP,6.61,6.66,1912,4013,0.04999999999999982,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61782,1517068637912242740,AWP,6.61,6.66,1912,3220,0.04999999999999982,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61783,1517068637937068323,AWP,6.61,6.65,1912,3524,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61788,1517068637956513300,AWP,6.6,6.65,9590,3524,0.05000000000000071,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61793,1517068637964233604,AWP,6.6,6.68,9590,35999,0.08000000000000007,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61794,1517068637996649190,AWP,6.64,6.68,3034,35999,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61797,1517068638014960961,AWP,6.6,6.68,9590,35999,0.08000000000000007,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61798,1517068638021596772,AWP,6.63,6.68,1730,35999,0.04999999999999982,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61802,1517068638148993421,AWP,6.6,6.68,9590,35999,0.08000000000000007,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61806,1517068638167712666,AWP,6.6,6.68,9193,35999,0.08000000000000007,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61813,1517068638235667395,AWP,6.6,6.68,8922,35999,0.08000000000000007,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61815,1517068638274280239,AWP,6.63,6.68,5762,35999,0.04999999999999982,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61823,1517068638339717650,AWP,6.61,6.68,7737,35999,0.0699999999999994,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61824,1517068638385224198,AWP,6.62,6.68,5046,35999,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61826,1517068638391955391,AWP,6.62,6.68,154,35999,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61827,1517068638411709994,AWP,6.62,6.68,8200,35999,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61828,1517068638462426340,AWP,6.64,6.68,811,35999,0.040000000000000036,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61834,1517068638509054329,AWP,6.62,6.68,8200,35999,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61839,1517068638549295630,AWP,6.62,6.68,5859,35999,0.05999999999999961,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61841,1517068638603466575,AWP,6.62,6.65,5859,5118,0.03000000000000025,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61842,1517068638609725345,AWP,6.63,6.65,8809,5118,0.020000000000000462,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61844,1517068638640743987,AWP,6.63,6.65,8809,5084,0.020000000000000462,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
